track_number,icao24,callsign,origin_country,position_source,mode3a_code,emergency_squawk,spi,iff_mode,flight_plan_correlated,on_ground,baro_altitude_ft,geo_altitude_ft,ground_speed_kts,track_angle_deg,vertical_rate_fpm,latitude_deg,longitude_deg,in_restricted_zone,corridor_compliant,origin_known,sensor_platform,sensor_latitude,sensor_longitude,sensor_true_altitude_ft,slant_range_m,track_confidence
563,539d78,BAW962,France,asterix_radar,,0,0,no_response,1,0,21891,21891,198,29,5402,47.74222,9.38667,0,1,1,GS-RADAR-02,47.5,9.0,1500,40048,0.73
564,f00837,EJU528,Netherlands,ads_b,1071,0,0,mode3_valid,0,0,17038,17038,542,280,-3607,47.37556,9.41567,0,1,1,GS-RADAR-02,47.5,9.0,1500,34514,0.836
565,66e60a,BAW485,Switzerland,ads_b,,0,0,no_response,1,0,39024,39024,367,154,3224,46.54725,7.74253,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,52873,0.823
566,27fa75,UNKNOWN,Germany,fused,7571,0,0,mode3_invalid,0,0,98,98,189,72,1555,47.25408,9.38443,0,1,1,GS-RADAR-02,47.5,9.0,1500,39822,0.961
567,43a62c,N401,Netherlands,ads_b,2437,0,1,mode3_valid,1,0,5365,5365,470,265,-3669,47.04899,7.20886,0,1,1,GS-RADAR-01,47.0,7.5,1800,22756,0.841
568,4b6b44,SWR467,Switzerland,ads_b,1547,0,0,mode3_valid,0,0,28155,28155,551,102,3032,47.61656,6.82992,0,1,1,GS-RADAR-01,47.0,7.5,1800,85540,0.823
569,a68195,DLH934,Germany,ads_b,5540,0,0,mode3_valid,1,0,36573,36573,302,181,4177,47.60605,9.06196,0,1,1,GS-RADAR-02,47.5,9.0,1500,16581,0.85
570,28aa85,BAW73,Switzerland,ads_b,5324,0,0,mode3_valid,0,1,32337,32337,431,233,-3336,46.50422,7.04584,0,1,1,GS-RADAR-01,47.0,7.5,1800,65748,0.886
571,8f4ea6,BAW862,,ads_b,4356,0,0,mode3_valid,1,0,12298,12298,460,95,-1720,46.69386,6.85323,0,1,0,GS-RADAR-01,47.0,7.5,1800,59903,0.887
572,fc22a1,UNKNOWN,Netherlands,asterix_radar,7700,1,0,emergency,0,0,21606,21606,119,101,-5088,47.19277,6.98091,0,1,1,GS-RADAR-01,47.0,7.5,1800,45165,0.735
573,061246,N532,Austria,fused,4177,0,0,mode3_valid,1,0,23697,23697,303,156,-5818,46.97985,7.1533,0,1,1,GS-RADAR-01,47.0,7.5,1800,27222,0.945
574,7a4a88,DLH804,Austria,flarm,2610,0,0,mode3_invalid,1,1,32506,32506,251,289,134,47.63782,7.26396,0,1,1,GS-RADAR-01,47.0,7.5,1800,73716,0.481
575,6d5537,UNKNOWN,Austria,flarm,,0,0,no_response,0,0,12925,12925,347,334,-1703,46.95427,7.98222,1,0,1,UAS-ORBIT-09,46.9,8.2,18000,17672,0.487
576,27ef91,UNKNOWN,Austria,asterix_radar,7056,0,0,mode3_invalid,0,0,25583,25583,342,108,-4213,46.84906,9.47637,0,1,1,GS-RADAR-02,47.5,9.0,1500,81174,0.671
577,6ffefb,AFR776,Italy,mlat,,0,0,no_response,0,0,7241,7241,231,208,5593,47.11744,7.7619,0,1,1,GS-RADAR-01,47.0,7.5,1800,23809,0.531
578,665721,DLH327,Austria,mlat,,0,0,no_response,0,0,13814,13814,270,87,-3511,47.45271,8.54501,1,0,1,GS-RADAR-02,47.5,9.0,1500,34800,0.579
579,bdc32c,AFR765,,fused,3444,0,0,mode3_valid,0,0,8490,8490,346,15,2556,46.99051,8.01317,1,1,0,UAS-ORBIT-09,46.9,8.2,18000,17630,0.878
580,d402f9,BAW477,Switzerland,flarm,2443,0,0,mode3_invalid,1,0,37575,37575,243,138,5125,46.77701,8.05594,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,18512,0.48
581,eba6af,UNKNOWN,France,ads_b,7471,0,0,mode3_invalid,0,0,18373,18373,421,134,-2324,47.57077,7.33277,0,1,1,GS-RADAR-01,47.0,7.5,1800,64904,0.85
582,07cfe9,BAW300,Switzerland,ads_b,2146,0,0,mode3_valid,1,0,30872,30872,255,356,-5781,47.02397,8.15651,1,0,1,UAS-ORBIT-09,46.9,8.2,18000,14707,0.867
583,9f3cb9,AUA949,Netherlands,asterix_radar,6703,0,0,mode3_invalid,0,0,33736,33736,215,96,4014,47.49231,8.56475,1,1,1,GS-RADAR-02,47.5,9.0,1500,34154,0.736
584,319453,DLH102,Switzerland,asterix_radar,7674,0,0,mode3_invalid,1,1,20344,20344,443,234,1305,47.4289,8.57536,1,1,1,GS-RADAR-02,47.5,9.0,1500,33384,0.722
585,e907b4,EJU365,,ads_b,6373,0,0,mode3_valid,1,0,4426,4426,231,51,-5312,47.40155,8.50909,1,1,0,GS-RADAR-02,47.5,9.0,1500,38512,0.849
586,aa533a,AFR804,,ads_b,6175,0,0,mode3_valid,1,0,18020,18020,295,300,-2325,46.56687,7.607,0,1,0,GS-RADAR-01,47.0,7.5,1800,49095,0.88
587,30df96,DLH761,France,ads_b,2437,0,0,mode3_valid,1,0,37730,37730,117,105,-2765,47.17957,6.59902,0,1,1,GS-RADAR-01,47.0,7.5,1800,71911,0.88
588,35cb66,AFR945,Italy,ads_b,,0,0,no_response,1,0,7027,7027,520,227,5357,46.60166,8.97385,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,67731,0.915
589,56c07f,AUA35,,mlat,4653,0,0,mode3_invalid,1,0,26913,26913,487,177,2032,46.99488,8.02212,1,1,0,UAS-ORBIT-09,46.9,8.2,18000,17349,0.52
590,a797c0,EJU675,Italy,fused,7172,0,0,mode3_valid,1,0,728,728,465,301,4695,46.52187,7.35304,0,1,1,GS-RADAR-01,47.0,7.5,1800,54331,0.891
591,ebce7c,BAW463,France,ads_b,4235,0,0,mode3_valid,1,0,16113,16113,111,284,4813,46.50213,7.18421,0,1,1,GS-RADAR-01,47.0,7.5,1800,60519,0.875
592,065ba8,DLH457,Austria,ads_b,5363,0,0,mode3_valid,1,0,15640,15640,250,263,3381,47.36403,8.39038,0,1,1,GS-RADAR-02,47.5,9.0,1500,48475,0.909
593,ebb8e4,SWR994,,ads_b,7547,0,1,mode3_valid,1,0,36874,36874,192,258,-1993,47.1943,6.84127,0,1,0,GS-RADAR-01,47.0,7.5,1800,55384,0.839
594,a77bb2,DLH449,,ads_b,,0,0,no_response,0,0,22425,22425,542,120,3348,46.5002,7.26218,0,1,0,GS-RADAR-01,47.0,7.5,1800,58790,0.846
595,b5717f,SWR402,Italy,ads_b,2156,0,0,mode3_valid,1,0,307,307,641,136,-838,46.99222,8.04634,1,0,1,UAS-ORBIT-09,46.9,8.2,18000,16440,0.864
596,53a00d,SWR901,,ads_b,7500,1,0,emergency,0,0,657,657,621,10,-5835,47.42703,8.57002,1,0,0,GS-RADAR-02,47.5,9.0,1500,33327,0.813
597,610dae,DLH397,Switzerland,flarm,3743,0,0,mode3_invalid,1,0,911,911,400,5,4655,47.14174,7.9777,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,32150,0.526
598,cbd769,N132,Germany,asterix_radar,6716,0,0,mode3_invalid,1,0,36534,36534,461,111,611,46.61722,7.51779,0,1,1,GS-RADAR-01,47.0,7.5,1800,43881,0.689
599,f61f93,BAW942,Italy,ads_b,2571,0,0,mode3_valid,0,0,30944,30944,514,311,-4403,46.59063,9.24863,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,87079,0.911
600,a1f1d9,N649,Italy,mlat,1111,0,0,mode3_invalid,1,0,19584,19584,434,239,-194,46.98119,7.4057,0,1,1,GS-RADAR-01,47.0,7.5,1800,9215,0.559
601,b16b13,EJU828,Austria,ads_b,,0,1,no_response,0,0,10861,10861,368,322,4903,47.71614,7.08165,0,1,1,GS-RADAR-01,47.0,7.5,1800,85683,0.845
602,cc9c13,AFR673,Italy,asterix_radar,1570,0,0,mode3_invalid,1,0,10349,10349,214,117,311,46.91678,7.33576,0,1,1,GS-RADAR-01,47.0,7.5,1800,15741,0.706
603,125f90,N942,France,asterix_radar,1466,0,0,mode3_invalid,1,0,34492,34492,136,239,4430,47.61959,8.27891,0,1,1,GS-RADAR-02,47.5,9.0,1500,56618,0.712
604,408541,BAW348,Italy,flarm,2141,0,0,mode3_invalid,1,0,16092,16092,83,320,-1854,46.85548,7.31416,0,1,1,GS-RADAR-01,47.0,7.5,1800,21826,0.472
605,8f4985,UNKNOWN,Germany,ads_b,2177,0,0,mode3_invalid,0,0,5915,5915,140,349,5450,47.03369,7.97516,1,0,1,UAS-ORBIT-09,46.9,8.2,18000,22927,0.856
606,e27d68,DLH554,France,ads_b,2543,0,0,mode3_valid,1,0,14080,14080,251,306,-1823,46.95738,7.60022,0,1,1,GS-RADAR-01,47.0,7.5,1800,9709,0.85
607,41af79,EJU734,Netherlands,ads_b,4455,0,0,mode3_valid,1,0,25835,25835,90,10,-2715,47.2418,8.24276,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,38219,0.869
608,3a0d43,EJU404,Switzerland,ads_b,5150,0,0,mode3_valid,0,0,39142,39142,185,186,-3909,47.061,7.1729,0,1,1,GS-RADAR-01,47.0,7.5,1800,28110,0.847
609,f0dd3c,BAW363,France,ads_b,,0,0,no_response,1,0,24232,24232,402,175,-5743,46.98964,7.98019,1,0,1,UAS-ORBIT-09,46.9,8.2,18000,19529,0.87
610,c85f72,SWR129,Switzerland,ads_b,6047,0,0,mode3_valid,0,0,19496,19496,406,323,1380,47.10314,7.25396,0,1,1,GS-RADAR-01,47.0,7.5,1800,22541,0.87
611,ce853f,EJU302,,ads_b,2152,0,0,mode3_valid,1,0,26191,26191,368,131,5112,47.10598,7.31611,0,1,0,GS-RADAR-01,47.0,7.5,1800,19703,0.844
612,c9e572,AFR150,France,ads_b,6243,0,0,mode3_valid,1,0,21030,21030,243,33,-5224,47.36338,8.35224,0,1,1,GS-RADAR-02,47.5,9.0,1500,51383,0.873
613,e61f01,AUA35,Italy,mlat,4770,0,0,mode3_invalid,0,0,12598,12598,317,2,3210,47.30687,9.36949,0,1,1,GS-RADAR-02,47.5,9.0,1500,35297,0.582
614,a5f7d5,BAW45,Netherlands,fused,7700,1,0,emergency,0,0,5078,5078,146,218,10167,46.71198,8.30329,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,22680,0.913
615,7f3821,AFR250,Austria,ads_b,6753,0,0,mode3_valid,1,0,16565,16565,142,41,547,46.99791,7.98515,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,19614,0.89
616,2c644e,BAW328,Netherlands,asterix_radar,1465,0,0,mode3_invalid,1,0,17307,17307,547,218,-2662,47.4016,8.55184,1,1,1,GS-RADAR-02,47.5,9.0,1500,35756,0.728
617,a94c5a,AUA825,Germany,ads_b,,0,0,no_response,1,0,10775,10775,560,141,-4282,47.62936,9.48957,0,1,1,GS-RADAR-02,47.5,9.0,1500,39549,0.883
618,bf8fb0,EJU403,Germany,ads_b,5207,0,0,mode3_valid,1,0,35615,35615,397,135,-3700,47.30896,6.60744,0,1,1,GS-RADAR-01,47.0,7.5,1800,76428,0.826
619,ca1013,DLH129,Germany,mlat,7472,0,0,mode3_invalid,0,1,20610,20610,359,156,-772,46.787,7.59538,0,1,1,GS-RADAR-01,47.0,7.5,1800,25423,0.544
620,05f0b7,EJU979,Netherlands,ads_b,7055,0,0,mode3_valid,1,0,15085,15085,201,230,-5056,47.06151,9.40049,0,1,1,GS-RADAR-02,47.5,9.0,1500,57508,0.852
621,5f0037,UNKNOWN,Austria,ads_b,6065,0,0,mode3_invalid,0,0,23995,23995,231,140,2004,46.59002,7.90427,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,41220,0.848
622,b9c962,N307,France,ads_b,3717,0,1,mode3_valid,1,0,35004,35004,383,320,1960,47.27218,6.58554,0,1,1,GS-RADAR-01,47.0,7.5,1800,76176,0.832
623,318262,UNKNOWN,Germany,asterix_radar,4556,0,0,mode3_invalid,0,0,23375,23375,500,173,1380,47.28465,8.08896,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,43620,0.682
624,37d3ba,N348,Italy,ads_b,5752,0,0,mode3_valid,1,0,5940,5940,413,72,-3603,46.88787,6.96537,0,1,1,GS-RADAR-01,47.0,7.5,1800,42476,0.841
625,aa8ce1,AFR289,,ads_b,4377,0,0,mode3_valid,1,0,8575,8575,404,299,4923,46.84172,6.97262,0,1,0,GS-RADAR-01,47.0,7.5,1800,43797,0.838
626,3bb0ca,N573,Switzerland,asterix_radar,3160,0,0,mode3_invalid,1,0,4674,4674,560,207,788,46.92585,7.36979,0,1,1,GS-RADAR-01,47.0,7.5,1800,12899,0.679
627,8b6284,UNKNOWN,,flarm,5455,0,0,mode3_invalid,0,0,31693,31693,489,194,-4743,47.45762,8.54578,1,1,0,GS-RADAR-02,47.5,9.0,1500,35667,0.54
628,a1aeab,BAW346,,mlat,4344,0,0,mode3_invalid,0,0,37732,37732,472,167,3,47.04216,8.00138,1,0,0,UAS-ORBIT-09,46.9,8.2,18000,22653,0.547
629,8286f1,N490,Switzerland,ads_b,5272,0,0,mode3_valid,1,0,4296,4296,105,181,-4486,47.23155,7.57014,0,1,1,GS-RADAR-01,47.0,7.5,1800,26299,0.856
630,3f92a5,EJU189,Germany,fused,1333,0,1,mode3_valid,1,0,28736,28736,364,10,1784,46.9852,6.68937,0,1,1,GS-RADAR-01,47.0,7.5,1800,62049,0.877
631,87d6aa,AUA55,Switzerland,fused,3536,0,0,mode3_valid,1,0,2356,2356,415,144,-261,47.04665,7.99267,1,0,1,UAS-ORBIT-09,46.9,8.2,18000,23153,0.906
632,b248fc,DLH99,Austria,asterix_radar,5361,0,0,mode3_invalid,0,0,34341,34341,243,116,-4071,47.41368,8.57997,1,1,1,GS-RADAR-02,47.5,9.0,1500,34490,0.751
633,5bca9f,AFR401,Austria,asterix_radar,7500,1,0,emergency,0,0,2241,2241,212,250,-4249,46.92613,7.33653,0,1,1,GS-RADAR-01,47.0,7.5,1800,14878,0.711
634,fd9fcb,AFR693,France,ads_b,1736,0,0,mode3_valid,1,0,21141,21141,157,317,1070,47.13604,6.51298,0,1,1,GS-RADAR-01,47.0,7.5,1800,76496,0.876
635,53571f,BAW832,Italy,fused,3612,0,0,mode3_valid,1,0,4459,4459,459,33,-4791,47.64505,6.91331,0,1,1,GS-RADAR-01,47.0,7.5,1800,84266,0.915
636,2967ce,N18,Switzerland,mlat,6100,0,0,mode3_invalid,1,0,9304,9304,281,155,-791,47.78448,8.04264,0,1,1,GS-RADAR-02,47.5,9.0,1500,78424,0.529
637,0d6a9b,AUA920,Italy,ads_b,3310,0,0,mode3_valid,1,0,22410,22410,447,35,-525,46.77764,9.1754,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,75440,0.903
638,02e9eb,EJU630,Netherlands,ads_b,7335,0,0,mode3_valid,1,0,38939,38939,466,217,-4453,47.04949,7.97038,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,24911,0.818
639,673eba,UNKNOWN,Switzerland,ads_b,,0,1,no_response,0,0,24690,24690,153,316,1319,46.81548,7.15557,0,1,1,GS-RADAR-01,47.0,7.5,1800,33973,0.897
640,936a69,N952,Italy,mlat,2233,0,0,mode3_invalid,1,0,15129,15129,160,124,3969,47.47714,8.75562,0,1,1,GS-RADAR-02,47.5,9.0,1500,18997,0.558
641,04a345,BAW703,Netherlands,asterix_radar,,0,0,no_response,1,0,24769,24769,406,285,32,47.40463,6.52355,0,1,1,GS-RADAR-01,47.0,7.5,1800,86688,0.662
642,760f0f,AUA352,France,asterix_radar,4410,0,0,mode3_invalid,1,0,38926,38926,259,310,-1447,46.98658,8.75233,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,43491,0.738
643,7593d1,N516,Netherlands,asterix_radar,7500,1,0,emergency,0,0,1280,1280,657,333,4975,46.58786,8.85011,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,60699,0.76
644,8ed91e,EJU880,,asterix_radar,4106,0,0,mode3_invalid,1,0,37039,37039,240,175,3706,47.19488,8.10314,0,1,0,UAS-ORBIT-09,46.9,8.2,18000,34097,0.723
645,498227,SWR672,Austria,ads_b,,0,0,no_response,0,0,13141,13141,329,175,457,46.96868,6.61786,0,1,1,GS-RADAR-01,47.0,7.5,1800,67095,0.87
646,bfe286,BAW565,Switzerland,ads_b,7240,0,0,mode3_valid,1,0,36172,36172,412,74,5432,46.55251,6.64852,0,1,1,GS-RADAR-01,47.0,7.5,1800,82401,0.819
647,31a616,EJU736,Switzerland,fused,2142,0,0,mode3_valid,1,0,17621,17621,97,112,240,47.69588,9.22787,0,1,1,GS-RADAR-02,47.5,9.0,1500,28115,0.912
648,6fd194,AUA281,Netherlands,ads_b,2416,0,0,mode3_valid,1,1,31628,31628,139,138,-2294,46.53427,7.88168,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,47538,0.844
649,95e2e9,SWR261,France,asterix_radar,5467,0,0,mode3_invalid,1,0,38376,38376,312,194,-1502,47.57829,9.19434,0,1,1,GS-RADAR-02,47.5,9.0,1500,20370,0.67
650,3509f9,AUA262,France,ads_b,4500,0,0,mode3_valid,1,1,37763,37763,305,19,-4892,46.55378,7.01907,0,1,1,GS-RADAR-01,47.0,7.5,1800,62635,0.895
651,881a46,EJU912,Netherlands,ads_b,6003,0,0,mode3_valid,1,0,24122,24122,157,68,-2824,47.26604,9.44524,0,1,1,GS-RADAR-02,47.5,9.0,1500,42988,0.853
652,16efb8,EJU536,Netherlands,ads_b,3627,0,0,mode3_valid,1,0,14468,14468,389,20,-5814,46.94307,8.11223,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,8278,0.884
653,a15463,AFR577,Germany,asterix_radar,1575,0,0,mode3_invalid,0,0,9122,9122,353,115,4843,47.00345,7.59496,0,1,1,GS-RADAR-01,47.0,7.5,1800,7548,0.725
654,69d8c6,UNKNOWN,Netherlands,ads_b,7402,0,0,mode3_invalid,0,0,17205,17205,280,294,2362,47.56308,6.77061,0,1,1,GS-RADAR-01,47.0,7.5,1800,83483,0.895
655,8860ab,BAW712,Netherlands,fused,3215,0,0,mode3_valid,1,0,35686,35686,475,137,-3194,47.77851,8.26867,0,1,1,GS-RADAR-02,47.5,9.0,1500,63795,0.926
656,7f3cef,N10,Switzerland,ads_b,6431,0,0,mode3_valid,1,0,268,268,479,24,-2010,47.47967,7.24679,0,1,1,GS-RADAR-01,47.0,7.5,1800,56661,0.896
657,9263d1,AFR527,Switzerland,ads_b,,0,0,no_response,1,0,20981,20981,230,128,1013,47.03284,8.02426,1,0,1,UAS-ORBIT-09,46.9,8.2,18000,19920,0.839
658,2daa3d,EJU670,Italy,fused,,0,0,no_response,1,0,5308,5308,366,190,763,47.58811,7.56963,0,1,1,GS-RADAR-01,47.0,7.5,1800,65613,0.875
659,b5ce00,AUA618,Germany,asterix_radar,2741,0,0,mode3_invalid,1,0,33099,33099,368,8,-336,47.00921,7.97092,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,21701,0.715
660,a8b29c,SWR105,Netherlands,ads_b,3231,0,0,mode3_valid,1,0,19960,19960,310,181,5613,47.05303,7.72314,0,1,1,GS-RADAR-01,47.0,7.5,1800,18747,0.854
661,1e72f4,BAW61,Germany,ads_b,2715,0,0,mode3_valid,1,0,31835,31835,547,174,-404,47.72818,7.53592,0,1,1,GS-RADAR-01,47.0,7.5,1800,81531,0.84
662,28794b,SWR218,Italy,mlat,6450,0,0,mode3_invalid,1,0,26786,26786,181,224,4222,46.9782,8.03709,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,15354,0.56
663,0ee1b9,DLH232,Germany,mlat,4143,0,0,mode3_invalid,1,0,36877,36877,304,132,5772,46.68798,8.22213,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,24325,0.572
664,819369,AUA865,Italy,flarm,2146,0,0,mode3_invalid,1,0,20585,20585,269,39,3578,47.01358,7.87174,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,27943,0.513
665,680d3f,BAW843,,ads_b,6450,0,0,mode3_valid,1,0,9192,9192,251,211,2197,46.77678,8.36417,0,1,0,UAS-ORBIT-09,46.9,8.2,18000,18732,0.918
666,7acf6e,DLH354,France,fused,1227,0,0,mode3_valid,1,0,13590,13590,94,41,-3411,47.37312,8.66303,0,1,1,GS-RADAR-02,47.5,9.0,1500,29239,0.932
667,1769e7,SWR694,Italy,ads_b,2740,0,0,mode3_valid,1,0,19550,19550,459,148,-4473,46.89814,7.84981,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,26611,0.881
668,8d745f,AUA933,Netherlands,ads_b,7266,0,0,mode3_valid,1,1,25229,25229,181,231,-5141,47.13563,7.52906,0,1,1,GS-RADAR-01,47.0,7.5,1800,16831,0.902
669,5efd75,EJU78,Italy,ads_b,3167,0,0,mode3_valid,1,0,31089,31089,396,186,-2036,47.40578,7.36886,0,1,1,GS-RADAR-01,47.0,7.5,1800,47050,0.828
670,e20f20,AUA162,Germany,ads_b,7504,0,0,mode3_valid,0,0,22086,22086,182,289,2083,47.63825,7.3857,0,1,1,GS-RADAR-01,47.0,7.5,1800,71758,0.881
671,a58fb5,EJU192,Italy,asterix_radar,1111,0,0,mode3_invalid,1,1,20752,20752,481,21,-2323,46.9834,7.98078,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,19070,0.754
672,b7231e,N960,,ads_b,4722,0,0,mode3_valid,1,0,31874,31874,481,273,5000,46.88743,8.63769,0,1,0,UAS-ORBIT-09,46.9,8.2,18000,33554,0.855
673,1862ce,DLH346,Germany,fused,6341,0,0,mode3_valid,1,0,1354,1354,746,305,1774,47.42998,8.54012,1,0,1,GS-RADAR-02,47.5,9.0,1500,35436,0.923
674,d0b1a5,AUA589,Italy,asterix_radar,,0,0,no_response,0,0,4068,4068,321,43,1914,47.43928,8.52958,1,1,1,GS-RADAR-02,47.5,9.0,1500,36006,0.756
675,a6e01e,EJU68,Austria,ads_b,2027,0,0,mode3_valid,1,0,4116,4116,197,71,-180,47.00679,7.07135,0,1,1,GS-RADAR-01,47.0,7.5,1800,32520,0.872
676,0cbcf2,EJU424,France,ads_b,3713,0,0,mode3_valid,1,0,28731,28731,379,9,908,47.78175,8.26747,0,1,1,GS-RADAR-02,47.5,9.0,1500,63736,0.824
677,9b0799,AUA644,Switzerland,ads_b,1352,0,0,mode3_valid,1,0,18970,18970,198,168,-3061,46.99781,8.95768,0,1,1,GS-RADAR-02,47.5,9.0,1500,56185,0.845
678,1e8571,DLH334,Switzerland,asterix_radar,1424,0,0,mode3_invalid,0,0,32964,32964,202,113,715,47.63108,8.04633,0,1,1,GS-RADAR-02,47.5,9.0,1500,73647,0.711
679,52d8e7,SWR96,,ads_b,4441,0,0,mode3_valid,0,0,26945,26945,154,292,-4754,47.4043,8.70666,0,1,0,GS-RADAR-02,47.5,9.0,1500,25688,0.857
680,4fc99c,N62,Austria,fused,7212,0,0,mode3_valid,1,0,12763,12763,210,217,-265,47.55788,8.78374,0,1,1,GS-RADAR-02,47.5,9.0,1500,17800,0.938
681,83aa66,AFR155,Germany,fused,2104,0,0,mode3_valid,1,0,25454,25454,207,137,4859,47.42826,8.48124,1,1,1,GS-RADAR-02,47.5,9.0,1500,40468,0.93
682,4811ca,BAW138,Italy,ads_b,1445,0,0,mode3_valid,1,0,34866,34866,371,159,-2017,47.29523,7.62462,0,1,1,GS-RADAR-01,47.0,7.5,1800,35610,0.892
683,80ce1d,EJU18,France,flarm,,0,0,no_response,0,0,36490,36490,246,83,4434,46.82923,7.45832,0,1,1,GS-RADAR-01,47.0,7.5,1800,21963,0.543
684,50a542,AFR292,Austria,ads_b,6677,0,0,mode3_valid,1,0,9427,9427,413,138,968,46.68436,6.59099,0,1,1,GS-RADAR-01,47.0,7.5,1800,77570,0.866
685,393769,AFR893,Germany,ads_b,3316,0,0,mode3_valid,1,0,12617,12617,333,182,2054,46.73782,6.65199,0,1,1,GS-RADAR-01,47.0,7.5,1800,70827,0.86
686,68310a,EJU62,Netherlands,ads_b,1606,0,0,mode3_valid,1,0,26354,26354,323,357,5074,46.58955,7.77924,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,47180,0.903
687,2c58b6,SWR875,Austria,asterix_radar,4222,0,1,mode3_invalid,1,0,35663,35663,365,243,-5008,47.40651,8.54466,1,1,1,GS-RADAR-02,47.5,9.0,1500,37264,0.714
688,65016d,BAW330,Germany,ads_b,4405,0,1,mode3_valid,0,0,37069,37069,126,265,4871,47.00356,8.94111,0,1,1,GS-RADAR-02,47.5,9.0,1500,56430,0.895
689,5de2a3,AFR63,Netherlands,ads_b,1217,0,0,mode3_valid,1,0,12816,12816,273,313,2287,46.65536,7.40693,0,1,1,GS-RADAR-01,47.0,7.5,1800,39114,0.891
690,e8c86d,EJU382,France,ads_b,7700,1,0,emergency,0,0,21842,21842,261,191,-4081,47.13422,8.04686,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,28538,0.849
691,8bc9c6,N277,Switzerland,ads_b,5102,0,0,mode3_valid,1,0,33212,33212,282,52,-5485,47.43531,8.55745,1,1,1,GS-RADAR-02,47.5,9.0,1500,35380,0.871
692,eba09f,N998,,ads_b,,0,0,no_response,1,0,31382,31382,537,164,-3007,47.68252,9.4927,0,1,0,GS-RADAR-02,47.5,9.0,1500,43128,0.839
693,b09de0,AUA572,Italy,ads_b,5234,0,0,mode3_valid,1,0,3786,3786,235,267,5436,47.26612,7.90767,0,1,1,GS-RADAR-01,47.0,7.5,1800,42743,0.875
694,a057ec,DLH233,Germany,fused,2463,0,0,mode3_valid,1,0,17996,17996,120,67,5127,47.38922,8.23941,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,54480,0.929
695,763256,SWR185,Italy,fused,,0,0,no_response,1,0,36882,36882,529,22,4865,47.15952,7.34257,0,1,1,GS-RADAR-01,47.0,7.5,1800,23897,0.902
696,12350b,EJU446,Netherlands,ads_b,3132,0,0,mode3_valid,1,0,7987,7987,489,135,-1345,47.43235,7.27838,0,1,1,GS-RADAR-01,47.0,7.5,1800,50940,0.83
697,a99195,N526,France,ads_b,,0,0,no_response,1,0,1763,1763,517,45,3060,46.77843,8.19682,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,14397,0.874
698,82225c,AUA168,Netherlands,asterix_radar,3764,0,0,mode3_invalid,1,0,33092,33092,303,98,-4643,46.55676,7.50369,0,1,1,GS-RADAR-01,47.0,7.5,1800,50201,0.697
699,cc2c53,N987,Austria,fused,2570,0,0,mode3_valid,1,0,1160,1160,643,109,-2174,46.97334,8.02368,1,0,1,UAS-ORBIT-09,46.9,8.2,18000,16494,0.948
700,9710b2,EJU751,Switzerland,fused,7700,1,1,emergency,0,0,35763,35763,200,38,-3373,47.73329,9.05777,0,1,1,GS-RADAR-02,47.5,9.0,1500,28297,0.893
701,9c5b99,AFR190,Netherlands,mlat,7500,1,0,emergency,0,0,33680,33680,94,286,-727,47.3203,7.55149,0,1,1,GS-RADAR-01,47.0,7.5,1800,37122,0.568
702,fbc406,AUA544,Italy,ads_b,5652,0,0,mode3_valid,1,0,8537,8537,238,182,3601,47.29624,9.31418,0,1,1,GS-RADAR-02,47.5,9.0,1500,32820,0.834
703,b8cc0e,UNKNOWN,Switzerland,ads_b,7733,0,0,mode3_invalid,0,0,1304,1304,675,158,4479,47.31742,6.87049,0,1,1,GS-RADAR-01,47.0,7.5,1800,59255,0.909
704,9c35b3,DLH961,Switzerland,asterix_radar,7717,0,0,mode3_invalid,1,0,36742,36742,433,48,5281,47.32499,8.90446,0,1,1,GS-RADAR-02,47.5,9.0,1500,23361,0.752
705,326800,AFR381,Italy,mlat,,0,0,no_response,1,0,4596,4596,345,321,-4777,46.94834,7.51612,0,1,1,GS-RADAR-01,47.0,7.5,1800,5934,0.536
